DMA NAME,Bernie_Ind_Contributions_2016,Bernie_Total_Contributions_2016,Trump_Ind_Contributions_2016,Trump_Total_Contributions_2016,Clinton_Ind_Contributions_2016,Clinton_Total_Contributions_2016
(NON-DMA COUNTIES),130,4872.39,20,1654.0,63,2878.45
ABILENE-SWEETWATER,37,1817.23,35,4507.02,74,2652.7
"ALBANY, GA",18,551.08,51,17344.94,25,1236.82
ALBANY-SCHENECTADY-TROY,1487,46306.99,172,18893.41,1356,84231.56
ALBUQUERQUE-SANTA FE,1945,66210.79,284,49568.73,1447,128147.7
"ALEXANDRIA, LA",12,430.0,22,4151.98,51,1815.31
ALPENA,4,60.0,4,338.0,5,625.0
AMARILLO,40,1147.76,65,9693.0,112,3684.9
ANCHORAGE,394,13906.53,135,23130.92,202,13669.96
ATLANTA,1624,51206.24,1652,594315.75,3143,259455.12
AUGUSTA,102,2751.3,123,14369.65,148,13190.59
AUSTIN,1895,58975.09,426,70126.65,2272,194992.56
BAKERSFIELD,194,7237.56,141,21449.4,199,25383.76
BALTIMORE,1422,45938.67,439,41655.23,2233,212319.94
BANGOR,464,10610.19,31,3007.04,176,11966.24
BATON ROUGE,100,3341.84,131,20787.64,167,9510.31
BEAUMONT-PORT ARTHUR,61,1713.27,51,6100.0,96,9917.64
"BEND, OR",143,4417.05,34,4754.0,106,4736.5
BILLINGS,102,2775.02,59,26034.8,79,3957.36
BILOXI-GULFPORT,25,877.31,70,13818.25,41,2102.23
BINGHAMTON,242,6460.24,28,1383.4,132,8873.55
BIRMINGHAM,254,7765.45,271,28319.72,498,36552.64
BLUEFIELD-BECKLEY-OAK HILL,50,1596.25,22,3565.9,63,2598.85
BOISE,390,12525.45,113,12816.5,277,9533.63
BOSTON,7764,251300.11,1003,123033.86,7840,973873.1
BOWLING GREEN,55,1040.58,15,1840.0,27,840.62
BUFFALO,556,15967.78,163,20447.9,567,47957.33
BURLINGTON-PLATTSBURGH,4019,128821.07,79,5125.25,618,56482.2
BUTTE-BOZEMAN,133,3663.75,31,4435.0,96,7131.9
CASPER-RIVERTON,35,1264.15,19,1864.0,40,4898.3
CEDAR RAPIDS-WATERLOO-DUBUQUE,448,13729.83,74,18022.91,606,29231.42
CHAMPAIGN-SPRINGFIELD-DECATUR,375,11233.05,103,11525.62,334,35393.65
"CHARLESTON, SC",272,10231.51,169,25529.59,356,29867.66
CHARLESTON-HUNTINGTON,186,4521.49,73,8985.5,238,14247.45
CHARLOTTE,715,19329.6,435,63754.6,925,75406.11
CHARLOTTESVILLE,276,8203.68,36,6555.0,226,23874.77
CHATTANOOGA,230,7341.45,143,27464.88,230,12978.86
