DMA_Name,Biden_Ind_Contributions,Biden_Total_Contributions,Trump_Ind_Contributions,Trump_Total_Contributions
(NON-DMA COUNTIES),102,5693.0,418,22255.47
ABILENE-SWEETWATER,104,4010.5,826,46890.48
"ALBANY, GA",82,5772.76,599,35241.3
ALBANY-SCHENECTADY-TROY,1838,194016.88,2274,121591.8
ALBUQUERQUE-SANTA FE,2536,424563.62,5238,287212.1
"ALEXANDRIA, LA",49,4490.0,372,21088.58
ALPENA,17,1138.0,60,2649.77
AMARILLO,163,6040.77,1357,80965.34
ANCHORAGE,390,51009.0,1560,94802.48
ATLANTA,4901,580567.0,14659,971888.0
AUGUSTA,253,14651.0,1626,100103.06
AUSTIN,3304,578312.3,5056,346044.8
BAKERSFIELD,467,33257.55,1618,110335.75
BALTIMORE,3842,523948.97,5199,326525.66
BANGOR,263,20666.46,653,39207.41
BATON ROUGE,293,48567.35,1705,137772.23
BEAUMONT-PORT ARTHUR,108,10599.21,966,58841.1
"BEND, OR",251,20892.0,447,28644.55
BILLINGS,161,12023.66,917,57728.49
BILOXI-GULFPORT,113,18945.02,776,41775.2
BINGHAMTON,235,25059.1,487,34201.94
BIRMINGHAM,814,71229.65,3044,230189.42
BLUEFIELD-BECKLEY-OAK HILL,47,3771.4,173,22944.76
BOISE,663,51395.27,2237,132029.5
BOSTON,13209,2737301.8,12030,697358.6
BOWLING GREEN,42,3711.0,224,15853.36
BUFFALO,838,67580.77,2127,100391.9
BURLINGTON-PLATTSBURGH,1237,175974.73,778,57576.72
BUTTE-BOZEMAN,175,24101.51,609,45797.0
CASPER-RIVERTON,68,5184.5,187,20984.6
CEDAR RAPIDS-WATERLOO-DUBUQUE,766,45679.28,1111,71376.72
CHAMPAIGN-SPRINGFIELD-DECATUR,561,60664.18,1799,116318.89
"CHARLESTON, SC",947,107406.23,2014,124345.64
CHARLESTON-HUNTINGTON,410,24662.0,1183,67078.91
CHARLOTTE,2199,224596.72,5622,329851.88
CHARLOTTESVILLE,605,187184.81,245,17892.5
