Category: All categories

DMA,Voter registration: (5/25/20 - 6/22/20)
Austin TX,100
Atlanta GA,87
Columbia SC,75
Savannah GA,74
Dallas-Ft. Worth TX,71
North Platte NE,70
Charleston SC,69
Houston TX,68
San Antonio TX,66
Lafayette IN,66
Augusta GA,63
Butte-Bozeman MT,61
Gainesville FL,61
Oklahoma City OK,60
Tulsa OK,59
Philadelphia PA,59
Louisville KY,58
Columbus GA,57
Waco-Temple-Bryan TX,57
Corpus Christi TX,56
St. Joseph MO,55
Greenville-Spartanburg SC-Asheville NC-Anderson SC,55
Salt Lake City UT,55
Odessa-Midland TX,55
Lexington KY,55
Charlottesville VA,52
Presque Isle ME,52
Grand Junction-Montrose CO,51
Rapid City SD,51
Honolulu HI,51
Harrisburg-Lancaster-Lebanon-York PA,51
New York NY,51
Tyler-Longview(Lufkin & Nacogdoches) TX,48
Abilene-Sweetwater TX,48
Albuquerque-Santa Fe NM,47
Richmond-Petersburg VA,46
Juneau AK,46
Washington DC (Hagerstown MD),46
Lubbock TX,46
Clarksburg-Weston WV,45
New Orleans LA,45
Florence-Myrtle Beach SC,45
Ottumwa IA-Kirksville MO,44
Fairbanks AK,44
Macon GA,43
Denver CO,43
Parkersburg WV,43
Baton Rouge LA,43
Pittsburgh PA,43
Wichita Falls TX & Lawton OK,42
Wilkes Barre-Scranton PA,42
Charleston-Huntington WV,42
Evansville IN,42
Miami-Ft. Lauderdale FL,42
Amarillo TX,41
Jacksonville FL,40
Norfolk-Portsmouth-Newport News VA,40
West Palm Beach-Ft. Pierce FL,39
Syracuse NY,39
Chattanooga TN,39
Wilmington NC,39
Raleigh-Durham (Fayetteville) NC,38
Cheyenne WY-Scottsbluff NE,37
El Paso TX,37
Zanesville OH,37
Tallahassee FL-Thomasville GA,37
Sioux Falls(Mitchell) SD,37
Indianapolis IN,37
Rochester NY,36
Tampa-St. Petersburg (Sarasota) FL,35
Portland-Auburn ME,35
Boise ID,35
Las Vegas NV,35
Nashville TN,35
Helena MT,35
Ft. Myers-Naples FL,35
Cincinnati OH,35
Erie PA,35
Shreveport LA,35
Missoula MT,35
Kansas City MO,35
Lake Charles LA,34
Victoria TX,34
Orlando-Daytona Beach-Melbourne FL,34
Birmingham AL,34
Little Rock-Pine Bluff AR,34
Johnstown-Altoona PA,33
Lafayette LA,33
Biloxi-Gulfport MS,33
Roanoke-Lynchburg VA,33
Charlotte NC,33
Salisbury MD,33
Colorado Springs-Pueblo CO,33
"Billings, MT",32
Greensboro-High Point-Winston Salem NC,32
Tucson (Sierra Vista) AZ,32
Eureka CA,32
Albany-Schenectady-Troy NY,32
Columbia-Jefferson City MO,32
Ft. Smith-Fayetteville-Springdale-Rogers AR,32
Monroe LA-El Dorado AR,32
Huntsville-Decatur (Florence) AL,32
Reno NV,31
Lansing MI,31
Beaumont-Port Arthur TX,31
Dothan AL,31
Buffalo NY,31
Harrisonburg VA,31
Harlingen-Weslaco-Brownsville-McAllen TX,31
Elmira NY,31
Sherman TX-Ada OK,30
Portland OR,30
Bowling Green KY,30
Joplin MO-Pittsburg KS,30
Baltimore MD,30
Phoenix AZ,29
Watertown NY,29
Hartford & New Haven CT,29
Wichita-Hutchinson KS,28
Burlington VT-Plattsburgh NY,28
Binghamton NY,27
Lima OH,27
Memphis TN,27
Seattle-Tacoma WA,27
Wheeling WV-Steubenville OH,27
Boston MA-Manchester NH,27
Dayton OH,27
Jackson TN,27
Bluefield-Beckley-Oak Hill WV,26
Terre Haute IN,26
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,26
South Bend-Elkhart IN,26
Omaha NE,26
Davenport IA-Rock Island-Moline IL,26
Medford-Klamath Falls OR,26
Toledo OH,26
St. Louis MO,26
Meridian MS,25
Bend OR,25
Spokane WA,25
Traverse City-Cadillac MI,25
Panama City FL,25
Rochester MN-Mason City IA-Austin MN,25
Greenwood-Greenville MS,25
Hattiesburg-Laurel MS,25
