Category: All categories

DMA,Voter registration: (5/25/16 - 6/22/16)
Santa Barbara-Santa Maria-San Luis Obispo CA,100
Missoula MT,89
Helena MT,81
Eureka CA,80
Cheyenne WY-Scottsbluff NE,80
Palm Springs CA,78
Monterey-Salinas CA,68
Los Angeles CA,63
Grand Junction-Montrose CO,62
Sacramento-Stockton-Modesto CA,61
Ottumwa IA-Kirksville MO,56
Greenwood-Greenville MS,56
San Francisco-Oakland-San Jose CA,54
San Diego CA,53
Bowling Green KY,53
Elmira NY,52
Chico-Redding CA,52
Meridian MS,51
Bakersfield CA,50
Albuquerque-Santa Fe NM,47
Dothan AL,45
Rapid City SD,45
Alexandria LA,43
Fairbanks AK,43
Fresno-Visalia CA,43
Abilene-Sweetwater TX,43
Yuma AZ-El Centro CA,43
Casper-Riverton WY,43
Lima OH,42
Great Falls MT,41
"Billings, MT",41
Parkersburg WV,39
Sioux Falls(Mitchell) SD,37
Mankato MN,36
Monroe LA-El Dorado AR,35
Amarillo TX,35
Butte-Bozeman MT,35
San Angelo TX,32
Jackson MS,31
Florence-Myrtle Beach SC,31
Binghamton NY,31
Sioux City IA,31
Jonesboro AR,30
Lafayette LA,28
Wichita Falls TX & Lawton OK,28
Youngstown OH,27
Gainesville FL,27
Raleigh-Durham (Fayetteville) NC,27
Columbus GA,27
Spokane WA,27
Tulsa OK,26
Springfield-Holyoke MA,26
Jackson TN,26
Tri-Cities TN-VA,24
Lubbock TX,24
New York NY,24
Johnstown-Altoona PA,24
Tallahassee FL-Thomasville GA,24
Jacksonville FL,23
Philadelphia PA,23
Tampa-St. Petersburg (Sarasota) FL,23
Honolulu HI,23
Columbia-Jefferson City MO,23
Norfolk-Portsmouth-Newport News VA,22
Reno NV,22
Davenport IA-Rock Island-Moline IL,22
West Palm Beach-Ft. Pierce FL,22
Lake Charles LA,22
Bend OR,22
Washington DC (Hagerstown MD),22
Charlotte NC,22
Richmond-Petersburg VA,21
Charleston SC,21
Las Vegas NV,21
Lansing MI,21
Shreveport LA,21
Denver CO,20
Boise ID,19
Chattanooga TN,19
Greenville-Spartanburg SC-Asheville NC-Anderson SC,19
Lexington KY,19
Duluth MN-Superior WI,19
Nashville TN,18
Medford-Klamath Falls OR,18
Joplin MO-Pittsburg KS,18
El Paso TX,17
Mobile AL-Pensacola (Ft. Walton Beach) FL,17
